,rain,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
1,,0,-0.948,-0.987,-1.15,-1.581,-1.876,-2.159,-2.246,-2.329,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-2.291,-2.145,-2.366,-2.293,-3.4028235e+38,-2.081,-1.917,-1.316,-1.812,-1.976,-2.144,-2.239,-2.282,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-2.297,-2.242,-2.258,-2.304,-2.22,-2.103,-2.272,-2.334,-2.401,-2.031,-2.194,-2.277,-2.393,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-2.236,-2.258,-2.216,-2.193,-2.177,-2.287,-2.242,-2.3,-2.152,-2.135,-2.215,-2.144,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-2.263,-2.182,-2.186,-2.152,-2.202,-2.2,-2.188,-2.112,-2.199,-2.131,-2.25,-2.202,-2.148,-2.124,-3.4028235e+38,-3.4028235e+38,-3.4028235e+38,-2.324,-2.206,-2.208,-2.145,-2.179,-2.247,-2.267,-2.244,-2.26,-2.217,-2.171,-2.113,-2.229,-2.236,-2.144,-2.095,-1.459,-3.4028235e+38,-2.239,-2.269,-2.158,-2.187,-2.186,-2.189,-2.228,-2.194,-2.228,-2.212,-2.155,-2.145,-2.178,-2.25,-2.152,-2.159,-2.14,-1.491,-1.367,-2.143,-2.13,-2.161,-2.226,-2.235,-2.22,-2.25,-2.23,-2.185,-2.189,-2.199,-2.175,-2.189,-2.256,-2.181,-2.21,-2.223,-2.095,-1.453,-1.276,-2.214,-2.244,-2.272,-2.248,-2.213,-2.304,-2.248,-2.224,-2.223,-2.249,-2.237,-2.139,-2.232,-2.161,-2.226,-2.39,-2.152,-1.826,-1.761,-1.59,-2.266,-2.335,-2.333,-2.283,-2.302,-2.273,-2.266,-2.235,-2.284,-2.191,-2.202,-2.245,-2.186,-2.232,-2.314,-2.369,-2.195,-1.848,-1.767,-1.79,-2.298,-2.285,-2.351,-2.366,-2.301,-2.28,-2.277,-2.277,-2.231,-2.16,-2.141,-2.156,-2.189,-3.4028235e+38,-2.306,-2.239,-2.135,-1.999,-1.922,-1.874,-2.295,-2.36,-2.327,-2.307,-2.324,-2.284,-2.221,-2.281,-2.205,-2.135,-2.126,-2.154,-2.123,-3.4028235e+38,-3.4028235e+38,-2.132,-2.167,-2.089,-2.028,-1.925,-2.365,-2.334,-2.303,-2.264,-2.249,-2.252,-2.231,-2.164,-2.09,-2.174,-2.241,-2.17,-2.124,-2.188,-3.4028235e+38,-2.184,-2.167,-2.127,-2.056,-1.884,-2.335,-2.338,-2.276,-2.203,-2.216,-2.255,-2.179,-2.093,-2.136,-2.283,-2.23,-2.244,-2.178,-2.117,-2.121,-2.103,-2.171,-2.112,-1.946,-2.122,-2.289,-2.219,-2.207,-2.217,-2.187,-2.129,-2.059,-2.1,-2.379,-2.214,-2.082,-2.003,-2.279,-2.291,-2.089,-2.101,-2.102,-2.025,-2.147,-2.225,-2.194,-2.143,-2.195,-2.198,-2.157,-2.091,-2.164,-2.297,-2.11,-2.03,-1.959,-1.902,-1.872,-2.263,-2.169,-1.986,-1.998,-2.154,-2.209,-2.05,-2.153,-2.132,-2.166,-2.21,-2.252,-2.181,-2.159,-1.915,-1.796,-1.836,-1.856,-3.4028235e+38,-1.749,-1.728,-2.089,-2.173,-2.173,-2.105,-1.918,-1.867,-2.17,-2.106,-2.187,-2.358,-2.77,-2.023,-1.869,-1.781,-1.795,-1.769,-1.742,-1.792,-3.4028235e+38,-1.692,-1.625,-2.076,-2.18,-1.871,-1.854,-3.4028235e+38,-2.256,-2.309,-2.485,-2.69,-2.38,-1.935,-1.743,-1.759,-1.809,-1.745,-1.779,-1.737,-1.786,-3.4028235e+38,-1.619,-1.636,-1.734,-3.4028235e+38,-3.4028235e+38,-1.699,-2.418,-2.973,-2.958,-2.754,-2.049,-1.942,-1.992,-1.826,-1.753,-1.732,-1.721,-1.788,-1.769,-1.701,-1.615,-1.622,-3.4028235e+38,-3.4028235e+38,-1.8,-1.786,-2.73,-2.874,-2.982,-2.26,-2.232,-2.091,-2.113,-2.074,-1.94,-1.784,-1.804,-1.814,-1.704,-1.716,-1.609,-1.723,-3.4028235e+38,-1.889,-1.89,-1.918
3,504.0,0,,-0.8739,-0.8916,-0.9053,-0.8561,-0.8258,-0.8784,-0.8258,-0.8846,-1.1155,-0.9126,-0.8791,-0.8843,-0.9278,-0.9305,-0.9269,-0.937,-1.1076,-0.8035,-0.77,-0.8801,-0.8842,-0.8898,-0.8985,-0.8359,-0.8233,-0.8532,-0.8517,-0.8716,-0.9257,-1.0746,-0.8988,-0.8879,-0.9188,-0.9593,-0.9427,-1.0345,-0.9635,-0.7301,-0.7691,-0.8914,-0.8994,-0.8888,-0.8401,-0.8659,-0.848,-0.8367,-0.8532,-0.9139,-0.9016,-0.9024,-1.0748,-0.9117,-0.9203,-0.9565,-0.9573,-1.1038,-0.7899,-0.7585,-0.7579,-0.8797,-0.8673,-0.858,-0.8494,-0.8317,-0.8253,-0.8431,-0.8893,-0.9301,-0.9258,-0.8768,-0.944,-1.1086,-0.9292,-0.9468,-1.0318,-0.9276,-0.7628,-0.7808,-0.7704,-0.8339,-0.8212,-0.8422,-0.8502,-0.8327,-0.8393,-0.8886,-0.9411,-0.8895,-0.8937,-0.9131,-1.0027,-1.1474,-1.1185,-1.037,-1.085,-0.756,-0.7734,-0.815,-0.8017,-0.8008,-0.8075,-0.8116,-0.8068,-0.8386,-0.8951,-0.9236,-0.8968,-0.8737,-0.8711,-0.9619,-1.0737,-0.8441,-0.8504,-1.0868,-1.0066,-0.775,-0.7364,-0.8216,-0.8189,-0.7985,-0.8055,-0.7976,-0.8364,-0.8914,-0.9162,-0.8948,-0.8849,-0.8619,-0.9689,-1.0331,-0.7082,-0.7488,-0.7852,-0.8648,-1.0947,-0.8202,-0.8055,-0.7716,-0.812,-0.7954,-0.7906,-0.8323,-0.8943,-0.8999,-0.8869,-0.8824,-0.8918,-0.9773,-1.031,-0.7125,-0.7424,-0.7446,-0.745,-0.8005,-0.8811,-1.0828,-0.9041,-0.8221,-0.7739,-0.8013,-0.8353,-0.8987,-0.8887,-0.8811,-0.8925,-0.862,-0.969,-1.0006,-0.7203,-0.7413,-0.7634,-0.7792,-0.7827,-0.7574,-0.8246,-0.9654,-1.1167,-0.8979,-0.7795,-0.8464,-0.8853,-0.8776,-0.8806,-0.8939,-0.8594,-0.9922,-0.9654,-0.7347,-0.7629,-0.783,-0.7886,-0.8041,-0.797,-0.7628,-0.7667,-0.878,-0.9673,-1.1016,-0.9058,-0.9068,-0.9045,-0.8845,-0.916,-0.8808,-0.9663,-0.9711,-0.7345,-0.7664,-0.7911,-0.7987,-0.8116,-0.8046,-0.7935,-0.7806,-0.7744,-0.7893,-0.9006,-1.0191,-1.1014,-0.902,-0.9117,-0.9034,-0.877,-0.9611,-0.9481,-0.7338,-0.7436,-0.7723,-0.783,-0.7985,-0.803,-0.7851,-0.7742,-0.8012,-0.7988,-0.8058,-0.8252,-0.9309,-1.0257,-0.9048,-0.9368,-0.8824,-1.0192,-0.9196,-0.7437,-0.7539,-0.7695,-0.7646,-0.7805,-0.7793,-0.7697,-0.768,-0.7855,-0.8138,-0.8022,-0.815,-0.8221,-0.8463,-0.9034,-0.9476,-0.9242,-1.0259,-0.9329,-0.7654,-0.7964,-0.7846,-0.7786,-0.7821,-0.7767,-0.7478,-0.7432,-0.7727,-0.7989,-0.8211,-0.8339,-0.8341,-0.8121,-0.8196,-0.8245,-0.9202,-1.0673,-0.9175,-0.7578,-0.7854,-0.8123,-0.7954,-0.7979,-0.7849,-0.7403,-0.7394,-0.7609,-0.7836,-0.8017,-0.8337,-0.848,-0.8369,-0.8176,-0.8218,-0.8106,-1.055,-0.8824,-0.8008,-0.8036,-0.7983,-0.7968,-0.7999,-0.7837,-0.7559,-0.7173,-0.7546,-0.7821,-0.7857,-0.811,-0.8288,-0.8384,-0.821,-0.8305,-0.8459,-0.8734,-0.8565,-0.7859,-0.8055,-0.8111,-0.8119,-0.8038,-0.7956,-0.7637,-0.7296,-0.7249,-0.7591,-0.7691,-0.7916,-0.8096,-0.794,-0.7966,-0.8125,-0.814,-0.8489,-0.928,-0.775,-0.7821,-0.813,-0.823,-0.8247,-0.7961,-0.7666,-0.738,-0.7441,-0.7596,-0.7676,-0.7947,-0.81,-0.8095,-0.7954,-0.7833,-0.7924,-0.8659,-0.9786,-1.1467,-0.783,-0.7886,-0.8021,-0.8185,-0.8166,-0.7804,-0.764,-0.773,-0.779,-0.799,-0.8383,-0.8425,-0.8248,-0.8031,-0.7885,-0.7682,-0.8475,-0.9985,-1.1908,-0.9863,-0.7771,-0.7835,-0.8062,-0.8159,-0.7981,-0.7681,-0.7849,-0.7874,-0.788,-0.836,-0.8615,-0.8442,-0.8002,-0.7895,-0.7828,-0.872,-1.0304,-1.1645,-0.9898,-0.935
