,rain,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,rain12,rain13,rain14,rain15,rain16,rain17,rain18,rain19,rain20,rain21,rain22
0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.23076923076923078,7.571428571428571,20.466666666666665,22.0,21.235294117647058,20.555555555555557,22.31578947368421,21.2,20.19047619047619,19.863636363636363,19.565217391304348
1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,3.0,2.6666666666666665,2.4,2.1818181818181817,2.0,1.8461538461538463,1.7142857142857142,1.6,1.5,1.411764705882353,1.3333333333333333,1.263157894736842,1.2,1.1428571428571428,1.0909090909090908,1.0434782608695652
3,425.0,0.0,0.0,0.0,0.0,0.0,10.571428571428571,22.25,35.0,38.5,36.81818181818182,33.75,31.153846153846153,28.928571428571427,27.0,25.3125,23.823529411764707,22.5,21.31578947368421,20.25,19.285714285714285,18.40909090909091,17.608695652173914
4,1579.0,0.0,0.0,0.0,2.4,2.0,1.7142857142857142,1.5,1.3333333333333333,1.2,1.0909090909090908,1.0,0.9230769230769231,0.8571428571428571,0.8,0.75,0.7058823529411765,0.6666666666666666,0.631578947368421,0.6,0.5714285714285714,0.5454545454545454,0.5217391304347826
5,1233.0,0.0,0.0,0.0,0.0,2.8333333333333335,3.2857142857142856,2.875,2.5555555555555554,2.3,2.090909090909091,1.9166666666666667,4.153846153846154,20.071428571428573,24.666666666666668,23.125,21.764705882352942,20.555555555555557,19.473684210526315,18.5,17.61904761904762,16.818181818181817,16.08695652173913
6,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11111111111111,57.5,79.27272727272727,77.75,90.15384615384616,84.14285714285714,91.86666666666666,98.3125,95.05882352941177,89.77777777777777,85.05263157894737,88.0,83.80952380952381,80.36363636363636,78.56521739130434
7,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.8888888888888888,0.8,0.7272727272727273,0.6666666666666666,0.6153846153846154,0.5714285714285714,0.5333333333333333,0.5,0.7058823529411765,1.9444444444444444,1.8421052631578947,1.75,1.6666666666666667,1.5909090909090908,1.5217391304347827
8,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9411764705882353,0.8888888888888888,1.631578947368421,9.5,9.047619047619047,8.636363636363637,8.26086956521739
9,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,13.409090909090908,19.391304347826086
10,580.0,0.0,5.666666666666667,22.75,26.8,23.333333333333332,27.142857142857142,25.875,25.11111111111111,24.0,22.545454545454547,20.666666666666668,19.076923076923077,17.714285714285715,16.533333333333335,15.5,14.588235294117647,13.777777777777779,13.052631578947368,16.4,15.761904761904763,15.045454545454545,17.217391304347824
11,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46153846153846156,0.42857142857142855,0.4,0.375,0.35294117647058826,0.3333333333333333,0.631578947368421,0.7,0.6666666666666666,0.6363636363636364,0.6086956521739131
12,208.0,22.5,50.333333333333336,63.5,55.0,58.166666666666664,60.42857142857143,58.875,63.111111111111114,56.8,51.63636363636363,47.416666666666664,43.76923076923077,40.642857142857146,38.0,35.625,33.529411764705884,31.666666666666668,30.0,28.5,27.142857142857142,25.90909090909091,24.782608695652176
13,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13.0,5.5,3.6666666666666665,4.25,8.0,8.0,9.0,8.25,7.333333333333333,7.1,6.636363636363637,7.666666666666667,7.076923076923077,6.571428571428571,6.133333333333334,5.75,5.411764705882353,5.111111111111111,4.842105263157895,4.6,4.619047619047619,4.409090909090909,4.217391304347826
16,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,13.272727272727273,15.333333333333334,14.76923076923077,13.714285714285714,12.8,12.0,11.294117647058824,10.666666666666666,10.105263157894736,9.6,9.142857142857142,8.727272727272727,8.347826086956522
18,2007.0,0.0,0.0,0.0,0.0,3.5,3.7142857142857144,3.25,3.111111111111111,2.8,4.090909090909091,3.75,13.76923076923077,13.285714285714286,12.4,11.625,10.941176470588236,10.333333333333334,9.789473684210526,9.3,8.857142857142858,8.454545454545455,8.08695652173913
19,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.4782608695652174
20,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,70.46666666666667,66.0625,62.1764705882353,58.72222222222222,55.63157894736842,52.85,50.333333333333336,48.04545454545455,45.95652173913044
