rain,radarX,radarY,date,text,latlon,tiffile,labels
7292.0,302.0,449.0,20131013,Jemig het regent foto's van de wateroverlast op Twitter.. Haha sorry #woordgrapje,"(51.95848534, 4.21915246)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,"Vanwege de wateroverlast in De Lier zijn De Laan van Boekesteijn, Burgerweg, Veilingweg en de Kon. Julianalaan  afgesloten voor verkeer.","(51.95848239, 4.2191586)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Hier weer een foto uit De Lier #wateroverlast http://t.co/8EUKoyOT3r,"(51.95844625, 4.21924285)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Ze zijn zelf druk bezig maar nu heeft de brandweer kazerne in de lier  zelf wateroverlast in het pand,"(51.9584802, 4.21916225)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Stormschade en wateroverlast meldingen komen nog steeds binnen #Westland,"(51.95844781, 4.21924092)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,blijkbaar is de Telegraaf nergens terplaatse #fail @krant_telegraaf Wateroverlast valt mee' http://t.co/V4uj0nxaL2”,"(51.95844675, 4.21924222)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Op de veiling route is men nog steeds bezig met het wegpompen van het water #wateroverlast,"(51.95844631, 4.21924277)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Welkom nieuwe volgers ik doe me best jullie op de hoogte te houden op dit moment van het wateroverlast incident in het Westland en omstreek,"(51.95844617, 4.21924291)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Kijk voor alle wateroverlast foto's in de regio Westland op http://t.co/folaeYcb1P,"(51.95848113, 4.21916055)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Op de A20 geldt nu maximum snelheid van 70 km ivm wateroverlast. En ook de  A13 bij Delft. Je kan beter de boot pakken als je daar over wilt,"(51.95853977, 4.2190573)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,En het regent nog steeds. Inmiddels is de eerste 100 millimeter een feit. In ZW Nederland tot 120 mm kan ook nog gebeuren #wateroverlast,"(51.95844505, 4.21924431)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Brandweer gaat naar de noordvliet in Maassluis ivm wateroverlast,"(51.9584452, 4.21924413)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,In Ouddorp is het ook bar en boos met het wateroverlast http://t.co/b8X5VCp5IJ,"(51.9585155, 4.21915745)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Zelfde de NOS komt er mee @NiekvanAndel  ;-) @NOSFeed: #NOS video - Wateroverlast in De Lier http://t.co/U61NUGA1kt”,"(51.95848457, 4.21915644)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Houden deze kassen het droog? That's the question.! #wateroverlast #westland http://t.co/hSAiKFsDnu,"(51.95844579, 4.2192434)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Oprit Wippolderlaan en Bloemeroute ook wel Veiling route genoemd staan deels onder water #wateroverlast #Westland,"(51.95844467, 4.21924488)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Wateroverlast in de Lier foto van  @paprika83 http://t.co/hSeu9cT3in,"(51.95844535, 4.21924395)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,In Middelharnis staat het goed blank #wateroverlast http://t.co/KStOSwup2f,"(51.95848881, 4.21915513)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,De p2000 meldingen stromen binnen kwa wateroverlast in Zuid Holland en Zeeland wolkbreuk niet uitgesloten #herfst,"(51.95844671, 4.2192422)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Ernstige wateroverlast op de Melissant Rotterdam. Diverse straten staan blank Brandweer is druk aan het pompen http://t.co/VHjaQkn9kj,"(51.95846536, 4.21922614)",ahn2_5_37bz1.tif,1
7292.0,302.0,449.0,20131013,Overvloedige regen zorg voor wateroverlast in Maassluis en de Lier @hhdelfland is flink aan het pompen. Zo is hier te zien in de sloot,"(51.95851431, 4.21916057)",ahn2_5_37bz1.tif,1
6171.0,303.0,452.0,20131013,Wateroverlast winkelcentrum steendijkpolder #moet niet gekker worden #,"(51.93671097, 4.22476022)",ahn2_5_37bz2.tif,1
6459.0,303.0,480.0,20131013,@edaldus Hier in het oosten van Flakkee nog geen meldingen van wateroverlast. 2/2,"(51.69314559, 4.2072613)",ahn2_5_43dn1.tif,1
6191.0,304.0,447.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip1) COPI Brandweerkazerne De Lier DL 5490 5480 2678 | http://t.co/0vGWOYBnze #p2000,"(51.9744488, 4.2511633)",ahn2_5_37bz2.tif,1
